Change Physical Footprint: Designator=1 Old Footprint=Temp_Sensor New Footprint=Temp_Sensor
Change Physical Footprint: Designator=C1 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C2 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C3 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C4 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C5 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C6 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C7 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C8 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C9 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=DSC1 Old Footprint=DSC6011JE1A-020.0000TCT-ND New Footprint=DSC6011JE1A-020.0000TCT-ND
Change Physical Footprint: Designator=EAW1 Old Footprint=EAW0J-B24-CE0128L New Footprint=EAW0J-B24-CE0128L
Change Physical Footprint: Designator=G3T1 Old Footprint=G3T13AP New Footprint=G3T13AP
Change Physical Footprint: Designator=J1 Old Footprint=TECO-5555153-1_V New Footprint=TECO-5555153-1_V
Change Physical Footprint: Designator=K1 Old Footprint=Pushbutton New Footprint=Pushbutton
Change Physical Footprint: Designator=P1 Old Footprint=HDR1X5H New Footprint=HDR1X5H
Change Physical Footprint: Designator=P2 Old Footprint=HDR1X3H New Footprint=HDR1X3H
Change Physical Footprint: Designator=R1 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R2 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R3 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R4 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R5 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R6 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R7 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R8 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R9 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R10 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R11 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R12 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R13 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R14 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R15 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R16 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R17 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R18 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R19 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R20 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=R21 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=TSW1 Old Footprint=TSWB3NCB222LFS New Footprint=TSWB3NCB222LFS
Change Physical Footprint: Designator=U1 Old Footprint=LQFP64-10x10mm New Footprint=LQFP64-10x10mm
